317,665,954,1226,1468,1520,1505,1542,1513,1394,1244,1127,1066,1040,1071,1130,1167,1191,1270,1341,1396,1550,1657,1713,1738,1829,1757,1723,1661,1613,1481,1346,1210,1174,1172,1212,1341,1388,1341,1374,1389,1378,1454,1615,1703,1709,1696,1683,1570,1461,1390,1298,1180,1119,1077,1047,987,895,790,688,622,615,657,746,804,830,897,965,1045,1064,1085,926,693,432,234
644,1243,1788,2274,2700,2718,2691,2705,2699,2507,2264,2040,1897,1786,1781,1846,1906,2000,2136,2294,2371,2550,2689,2784,2787,2933,2899,2826,2749,2713,2536,2343,2183,2081,2030,2050,2228,2264,2183,2215,2242,2236,2376,2676,2840,2901,2881,2837,2648,2499,2368,2211,2045,1923,1838,1756,1638,1453,1272,1098,997,1044,1135,1306,1422,1529,1647,1803,1926,1977,2008,1705,1264,818,460
902,1758,2485,3163,3715,3715,3614,3606,3600,3432,3112,2806,2603,2417,2337,2375,2480,2642,2827,3051,3175,3366,3520,3668,3647,3817,3811,3733,3611,3558,3379,3158,2975,2859,2834,2839,3021,3012,2878,2879,2875,2886,3145,3575,3812,3946,3938,3828,3571,3385,3196,2990,2796,2644,2511,2361,2167,1900,1646,1415,1360,1441,1603,1812,2008,2157,2369,2550,2721,2802,2842,2374,1786,1188,661
1198,2262,3193,4022,4685,4561,4398,4290,4257,4076,3757,3374,3136,2882,2749,2727,2857,3041,3298,3563,3734,3889,4017,4184,4197,4417,4502,4473,4326,4220,3974,3694,3500,3403,3384,3412,3623,3590,3406,3376,3344,3361,3677,4153,4453,4618,4632,4518,4249,4054,3868,3652,3439,3264,3079,2877,2606,2310,2018,1796,1752,1865,2042,2307,2529,2759,3026,3270,3477,3592,3592,3016,2270,1514,831
1353,2578,3615,4531,5224,5027,4727,4559,4469,4264,3958,3584,3296,3029,2886,2819,2942,3172,3450,3750,3956,4071,4147,4298,4306,4489,4628,4636,4500,4385,4172,3902,3721,3641,3634,3631,3826,3758,3537,3460,3440,3431,3779,4259,4622,4809,4867,4802,4598,4402,4232,4017,3789,3560,3315,3062,2760,2416,2152,1993,1967,2095,2335,2621,2875,3158,3476,3723,3943,4059,4118,3489,2666,1817,1030
1286,2379,3351,4141,4711,4401,4032,3747,3634,3456,3217,2921,2643,2375,2221,2115,2178,2372,2600,2839,3050,3122,3181,3312,3335,3428,3613,3621,3523,3398,3246,3061,2994,2959,2978,2951,3021,2872,2657,2555,2524,2546,2877,3279,3607,3828,3910,3851,3714,3566,3441,3286,3138,2941,2728,2472,2203,1934,1779,1692,1746,1924,2194,2440,2691,2970,3264,3462,3640,3836,3968,3398,2643,1879,1073
1198,2176,3004,3654,4093,3694,3242,2915,2744,2574,2361,2141,1922,1718,1595,1493,1551,1669,1852,2038,2272,2327,2383,2511,2578,2594,2768,2826,2722,2540,2428,2277,2206,2224,2309,2301,2328,2184,2015,1899,1850,1862,2139,2405,2671,2844,2951,2964,2903,2802,2736,2631,2508,2363,2164,1957,1739,1553,1468,1469,1580,1748,1986,2194,2412,2644,2894,3063,3288,3542,3733,3251,2586,1841,1038
1234,2153,2907,3453,3777,3213,2702,2321,2087,1856,1688,1489,1305,1165,1095,1022,1047,1108,1253,1405,1612,1657,1698,1788,1882,1871,2052,2144,2093,1912,1798,1647,1565,1552,1604,1611,1628,1530,1439,1356,1333,1339,1511,1651,1864,1967,2074,2163,2165,2095,2087,2021,1909,1776,1602,1448,1303,1200,1195,1261,1354,1508,1699,1893,2064,2280,2498,2757,3039,3386,3643,3243,2564,1822,1008
1216,2102,2795,3267,3500,2851,2251,1852,1570,1294,1104,951,774,702,691,679,700,770,871,1007,1165,1208,1236,1296,1344,1311,1463,1550,1528,1398,1344,1225,1127,1083,1115,1095,1086,1032,1000,947,956,957,1060,1156,1328,1402,1503,1596,1607,1535,1517,1449,1364,1258,1136,1030,974,895,915,967,1057,1178,1361,1527,1720,1923,2156,2438,2782,3150,3479,3115,2483,1762,987
1231,2057,2735,3161,3327,2568,1959,1481,1192,927,738,574,438,363,349,375,418,470,559,678,817,864,912,971,1011,996,1128,1209,1209,1098,1030,907,792,709,724,718,709,686,704,683,682,699,759,819,920,972,1054,1111,1083,1033,1005,937,886,850,791,755,740,714,714,733,811,927,1052,1201,1386,1570,1809,2185,2587,3026,3380,3018,2373,1674,902
